img_id,filename,annotations
12,000012.jpg,"[(7, [155, 96, 196, 174])]"
17,000017.jpg,"[(15, [184, 61, 95, 138]), (13, [89, 77, 314, 259])]"
23,000023.jpg,"[(2, [8, 229, 237, 271]), (2, [229, 219, 105, 281]), (15, [1, 0, 116, 369]), (15, [2, 1, 241, 461]), (15, [224, 0, 110, 486])]"
26,000026.jpg,"[(7, [89, 124, 248, 88])]"
32,000032.jpg,"[(1, [103, 77, 272, 106]), (1, [132, 87, 65, 36]), (15, [194, 179, 19, 50]), (15, [25, 188, 19, 50])]"
33,000033.jpg,"[(1, [8, 106, 491, 157]), (1, [420, 199, 62, 27]), (1, [324, 187, 87, 36])]"
34,000034.jpg,"[(19, [115, 166, 245, 234]), (19, [140, 152, 193, 77])]"
35,000035.jpg,"[(15, [0, 95, 191, 266]), (15, [217, 97, 248, 221])]"
36,000036.jpg,"[(12, [26, 78, 293, 266])]"
42,000042.jpg,"[(19, [262, 31, 238, 264]), (19, [0, 35, 235, 264])]"
44,000044.jpg,"[(9, [0, 0, 370, 330]), (8, [98, 100, 214, 113])]"
47,000047.jpg,"[(7, [14, 0, 445, 312]), (9, [438, 169, 49, 61])]"
48,000048.jpg,"[(3, [57, 106, 234, 359]), (15, [1, 0, 301, 500])]"
61,000061.jpg,"[(4, [273, 10, 164, 269]), (4, [183, 213, 98, 39])]"
64,000064.jpg,"[(3, [0, 22, 451, 478])]"
66,000066.jpg,"[(15, [208, 186, 20, 44]), (15, [241, 181, 33, 78]), (15, [268, 187, 27, 72])]"
73,000073.jpg,"[(16, [120, 142, 255, 318]), (16, [1, 153, 63, 306]), (4, [269, 154, 106, 177]), (15, [21, 142, 125, 358])]"
77,000077.jpg,"[(8, [239, 0, 261, 333]), (8, [1, 0, 305, 333])]"
78,000078.jpg,"[(12, [14, 74, 461, 338]), (12, [93, 40, 344, 198])]"
83,000083.jpg,"[(7, [108, 32, 339, 277]), (15, [379, 1, 56, 134]), (15, [137, 13, 56, 102]), (15, [0, 19, 75, 185]), (15, [59, 47, 55, 109]), (15, [31, 50, 52, 112])]"
89,000089.jpg,"[(15, [19, 6, 164, 349]), (15, [97, 214, 332, 160]), (15, [331, 139, 124, 227]), (9, [21, 50, 296, 241])]"
91,000091.jpg,"[(7, [124, 240, 71, 44]), (7, [80, 247, 25, 21]), (7, [90, 249, 36, 25])]"
104,000104.jpg,"[(20, [402, 109, 98, 156]), (15, [290, 74, 152, 259]), (15, [1, 6, 282, 327])]"
112,000112.jpg,"[(12, [69, 173, 208, 155]), (9, [286, 161, 30, 37])]"
122,000122.jpg,"[(8, [35, 19, 395, 455])]"
129,000129.jpg,"[(2, [69, 201, 186, 299]), (15, [73, 0, 199, 462]), (15, [251, 18, 83, 469])]"
133,000133.jpg,"[(15, [72, 17, 334, 483]), (13, [134, 226, 204, 274])]"
134,000134.jpg,"[(7, [0, 114, 487, 216])]"
138,000138.jpg,"[(15, [5, 55, 149, 230]), (15, [144, 57, 139, 201]), (15, [223, 53, 217, 279]), (15, [362, 95, 138, 237])]"
140,000140.jpg,"[(12, [106, 145, 280, 155]), (18, [1, 112, 499, 289])]"
141,000141.jpg,"[(3, [24, 52, 394, 347])]"
147,000147.jpg,"[(9, [32, 104, 33, 42]), (9, [76, 113, 38, 36]), (9, [145, 124, 30, 26]), (9, [372, 120, 30, 33]), (9, [434, 111, 31, 38])]"
153,000153.jpg,"[(7, [236, 146, 122, 45])]"
154,000154.jpg,"[(4, [58, 75, 309, 191])]"
159,000159.jpg,"[(15, [233, 47, 53, 77]), (7, [0, 15, 498, 318])]"
161,000161.jpg,"[(7, [103, 33, 343, 357]), (7, [67, 194, 54, 94])]"
162,000162.jpg,"[(20, [305, 226, 75, 73]), (15, [195, 142, 114, 227])]"
163,000163.jpg,"[(15, [51, 21, 257, 307]), (14, [25, 107, 431, 289])]"
164,000164.jpg,"[(14, [113, 153, 256, 195]), (15, [291, 48, 155, 322])]"
171,000171.jpg,"[(12, [0, 289, 128, 118]), (15, [93, 20, 282, 471])]"
173,000173.jpg,"[(15, [105, 63, 165, 234]), (13, [108, 63, 180, 401])]"
174,000174.jpg,"[(15, [142, 4, 284, 329])]"
187,000187.jpg,"[(20, [0, 94, 240, 242])]"
189,000189.jpg,"[(3, [64, 38, 395, 308])]"
192,000192.jpg,"[(15, [115, 63, 241, 312])]"
193,000193.jpg,"[(15, [79, 3, 421, 372]), (15, [0, 28, 227, 347])]"
194,000194.jpg,"[(13, [85, 35, 154, 189]), (15, [114, 18, 89, 118]), (15, [278, 76, 20, 56])]"
198,000198.jpg,"[(19, [159, 133, 127, 106])]"
200,000200.jpg,"[(15, [27, 18, 76, 149]), (15, [15, 53, 163, 196]), (15, [146, 22, 99, 227]), (15, [226, 18, 174, 231]), (15, [390, 12, 110, 237]), (5, [363, 211, 26, 38]), (5, [230, 144, 30, 66])]"
207,000207.jpg,"[(6, [0, 204, 113, 116])]"
209,000209.jpg,"[(8, [13, 75, 387, 300])]"
219,000219.jpg,"[(14, [119, 332, 191, 132])]"
220,000220.jpg,"[(7, [39, 126, 425, 166]), (7, [426, 113, 74, 54]), (15, [264, 146, 48, 41])]"
222,000222.jpg,"[(11, [177, 215, 126, 111]), (15, [249, 236, 113, 139]), (15, [113, 235, 114, 140]), (5, [220, 222, 15, 44]), (5, [233, 212, 12, 44]), (15, [340, 148, 36, 68]), (15, [157, 190, 28, 31]), (15, [158, 176, 48, 54]), (15, [251, 177, 60, 51]), (15, [290, 192, 42, 49]), (15, [317, 208, 56, 122]), (15, [99, 205, 71, 137]), (15, [443, 282, 57, 93]), (9, [365, 242, 29, 133])]"
225,000225.jpg,"[(17, [124, 95, 231, 168]), (17, [1, 21, 46, 60])]"
228,000228.jpg,"[(1, [91, 81, 223, 147])]"
235,000235.jpg,"[(9, [242, 254, 74, 121]), (11, [39, 265, 238, 110]), (18, [414, 191, 43, 63])]"
242,000242.jpg,"[(8, [2, 2, 497, 285])]"
250,000250.jpg,"[(5, [96, 123, 54, 174])]"
256,000256.jpg,"[(1, [7, 95, 484, 137])]"
259,000259.jpg,"[(15, [170, 0, 329, 361]), (15, [2, 0, 269, 264])]"
262,000262.jpg,"[(7, [342, 95, 158, 101])]"
263,000263.jpg,"[(7, [18, 223, 337, 100])]"
276,000276.jpg,"[(15, [128, 162, 102, 157]), (15, [161, 372, 99, 128]), (15, [31, 372, 109, 128])]"
278,000278.jpg,"[(12, [293, 155, 207, 220]), (15, [110, 88, 307, 287])]"
282,000282.jpg,"[(15, [326, 103, 150, 197]), (15, [231, 56, 126, 318]), (15, [2, 31, 197, 343]), (15, [57, 138, 239, 236])]"
288,000288.jpg,"[(15, [442, 162, 37, 121]), (15, [418, 152, 21, 88]), (15, [439, 155, 11, 75]), (15, [411, 162, 19, 86]), (15, [406, 193, 16, 58]), (15, [372, 156, 29, 110]), (15, [329, 168, 51, 84]), (15, [0, 152, 20, 153]), (15, [0, 109, 33, 135]), (7, [29, 141, 48, 64]), (6, [66, 20, 316, 258])]"
294,000294.jpg,"[(3, [329, 10, 125, 358]), (3, [54, 92, 113, 279])]"
296,000296.jpg,"[(7, [426, 124, 74, 57]), (4, [43, 119, 416, 103])]"
306,000306.jpg,"[(10, [113, 35, 69, 51]), (10, [236, 45, 66, 42]), (10, [302, 41, 78, 46])]"
307,000307.jpg,"[(16, [1, 2, 499, 373]), (16, [0, 228, 40, 147])]"
311,000311.jpg,"[(7, [46, 41, 387, 313])]"
312,000312.jpg,"[(19, [2, 1, 498, 333])]"
317,000317.jpg,"[(7, [117, 150, 290, 71])]"
320,000320.jpg,"[(7, [271, 9, 33, 17]), (7, [227, 0, 46, 29]), (15, [0, 77, 372, 423])]"
325,000325.jpg,"[(1, [99, 62, 401, 138])]"
331,000331.jpg,"[(9, [170, 233, 203, 249]), (9, [60, 221, 78, 205]), (15, [148, 253, 210, 214])]"
334,000334.jpg,"[(7, [36, 109, 237, 69])]"
337,000337.jpg,"[(2, [75, 152, 85, 124]), (2, [218, 175, 211, 199]), (15, [28, 28, 40, 83]), (15, [118, 3, 44, 50]), (15, [112, 27, 55, 104]), (15, [241, 16, 47, 87]), (15, [67, 91, 98, 164]), (15, [234, 29, 169, 333]), (15, [175, 74, 56, 58])]"
344,000344.jpg,"[(5, [88, 1, 219, 440])]"
347,000347.jpg,"[(13, [76, 1, 335, 347])]"
349,000349.jpg,"[(11, [158, 130, 255, 232]), (9, [320, 125, 159, 238]), (9, [283, 75, 77, 69]), (9, [99, 90, 107, 208]), (9, [166, 160, 160, 215]), (20, [1, 1, 88, 130])]"
355,000355.jpg,"[(7, [21, 35, 406, 258])]"
359,000359.jpg,"[(12, [262, 265, 126, 214]), (15, [24, 12, 264, 469]), (9, [38, 83, 382, 343])]"
367,000367.jpg,"[(5, [226, 123, 45, 142]), (5, [330, 121, 60, 233]), (5, [393, 182, 29, 158]), (5, [284, 124, 42, 216]), (7, [429, 183, 71, 46]), (15, [173, 65, 122, 200])]"
370,000370.jpg,"[(4, [93, 103, 160, 153]), (4, [243, 121, 177, 136])]"
372,000372.jpg,"[(15, [268, 18, 92, 278]), (13, [353, 113, 67, 43]), (13, [77, 21, 176, 283])]"
379,000379.jpg,"[(2, [45, 15, 398, 326])]"
